,SongName,MainArtist,FeaturedArtist,URI
0,Dragonfly,Dana and Alden,,spotify:track:3uyAmrmQS6GDm0XllcMGMK
1,"Dan Dan Kokoro Hikareteku (From ""Dragon Ball GT"")",Jann-Aron JP,,spotify:track:0xw6hlly1m0HcSsYvnZq7f
2,限界突破×サバイバー,Kiyoshi Hikawa,,spotify:track:7K0hzTjRC0PCWXkBJuWcRH
3,Dragon Force,Yasuharu Takanashi,,spotify:track:3IWWJz8QE3htuNhsuaWPci
4,"DAN DAN Kokoro (""Dragon Ball GT"")",Daa San,,spotify:track:6GiaojSCRbkB9gzqYKXk4d
5,Dragon Slayer,Godmode,", RVPTR",spotify:track:6slHC04cWCUeglpd0Ui8Dc
6,Dragon Rises at Twilight,Zensoku,,spotify:track:4VS95VPUKHZTTeuvaAgmZQ
7,The Dragon in Me,Cuando Jazz,,spotify:track:62lJoAhtigUaXdXJK9zynP
8,dragons den - Instrumental Version,exploding hearts,,spotify:track:6HMBQOGvUyN6pMHmq3dJ0p
9,Winged Dragon Of Ra,naruto54123,,spotify:track:4pQrBK2MMF9dotDYjCAMtC
