,SongName,MainArtist,FeaturedArtist,URI
0,Vale la Pena - Live,Juan Luis Guerra 4.40,,spotify:track:1yltpW2onJ2qUxpCyw5Vr6
1,Vale la Pena,Juan Luis Guerra 4.40,,spotify:track:7uC9TpGGHrAssX8NUKBqed
2,HIBIKI,Bad Bunny,Mora,spotify:track:4qSEvFGCpde73gqIuq3sho
3,Vale La Pena,DJ REYNY 2805,,spotify:track:3CaGJaBjGDWq7SLsRMsJWP
4,No Vale la Pena (En Vivo) - En el Palacio de Bellas Artes,Juan Gabriel,,spotify:track:1ZwK7tvuYHoQQju0LBnqWk
5,Si No Le Contesto,Plan B,,spotify:track:560GL9Y8gDtKPRIJ41oA3c
6,No Vale La Pena,Johnny Rivera,Ray Sepulveda,spotify:track:1uqmUXgzSFlIf3ZzoSeWN7
7,Pareja Del Año,Sebastian Yatra,Myke Towers,spotify:track:655JkvIwu2rDCaD1hPf04g
8,Vale la Pena Vivir,Salem La Orquesta,,spotify:track:5zTkhDYfAULPZFCUxVAPrU
9,No Vale La Pena,Banda El Recodo,,spotify:track:3iWgig728pPO7zFPGj5IY5
