,SongName,MainArtist,FeaturedArtist,URI
0,Tuyệt Sắc - Remix,Orinn,,spotify:track:2pPHJS8HZabG0aFWOrvihr
1,Chịu Cách Mình Nói Thua,RHYDER,", BAN",spotify:track:3ZbZtdEw9U0uZW4tZItIwq
2,Quy Tầm (Remix) [Short Version],Vina Mix,,spotify:track:5bH7w2im88Ks0XYnyWD1UP
3,Cô Thợ May,Tọi,,spotify:track:1hwvrKkHia071BOMi4JivU
4,Gió - Cukak Remix,Cukak,,spotify:track:7wzX3HmAJr9VOX1oReldwf
5,Đọc Sách Làm Việc Học Tập Hiệu Quả,Tam Vinh Producer,VPROD Publishing,spotify:track:5MNS2HyPp916Ib5ybXRKyr
6,Đã Sai Từ Lúc Đầu (feat. Bố Gấu),The Masked Singer,Bố Gấu,spotify:track:4kvPnsvlocnsZJ8HP4mG5L
7,Cô Nàng Khác Người,Pixel Neko,", Wxrdie",spotify:track:0lXtQXwhZImnpjmpze8ykX
8,Cô Ấy Nói (Lofi Ver.),Ngô Anh Đạt,", Freak D",spotify:track:4yVnEpkEMbNoDuD24F1Dga
9,Cũng Đành Thôi,Đức Phúc,,spotify:track:1Gu3moX7qQp4t2jk6kJ0C6
